BIKF N635905 W223620
EBAW N511121 E042737
EBBR N505405 E042903
EBLG N503811 E052634
EBOS N511156 E025143
EDDB N522143 E133002
EDDF N500159 E083414
EDDH N533749 E095917
EDDK N505156 E070834
EDDL N511650 E064525
EDDM N482114 E114709
EDDN N492954 E110441
EDDP N512526 E121411
EDDS N484123 E091318
EDDT N523334 E131716
EDDV N522737 E094100
EETN N592447 E244956
EFHK N601901 E245747
EHAM N521829 E044551
EHEH N512700 E052227
EHRD N515724 E042613
EKBI N554425 E090906
EKCH N553705 E123921
ELLX N493723 E061215
ENBR N601736 E051305
ENGM N601210 E110502
EPKK N500440 E194704
EPKT N502827 E190447
EPWA N520956 E205801
ESGG N573935 E121727
ESKN N584718 E165412
ESSA N593906 E175506
EVRA N565524 E235815
EYVI N543812 E251716
GCFV N282710 W135150
GCLP N275554 W152312
GCRR N285644 W133619
GCXO N282858 W162030
LCLK N345244 E333749
LEAL N381655 W003329
LEAM N365038 W022212
LEAS N433348 W060204
LEBB N431803 W025438
LEBL N411748 E020441
LEBZ N385329 W064917
LECO N431806 W082237
LEGE N415402 E024538
LEGR N371118 W034637
LEIB N385222 E012223
LEJR N364440 W060335
LELN N423518 W053921
LEMD N402819 W033338
LEMG N364029 W042957
LEMH N395144 E041306
LEPA N393306 E024420
LESO N432123 W014726
LEST N425347 W082455
LEVC N392921 W002854
LEVD N414221 W045106
LEVX N421345 W083738
LEXJ N432536 W034911
LEZL N372505 W055356
LFBD N444942 W004255
LFBT N431108 W000010
LFCK N433317 E021726
LFLL N454332 E050451
LFMD N433247 E065715
LFML N432612 E051253
LFMN N433955 E071253
LFOB N492715 E020646
LFPG N490034 E023252
LFPO N484323 E022245
LFQQ N503347 E030512
LFRN N480418 W014355
LFRS N470924 W013628
LFSB N473524 E073145
LFST N483230 E073803
LGAV N375612 E235639
LGIR N352022 E251049
LGKR N393606 E195443
LGMK N372613 E252049
LGSR N362357 E252845
LGTS N403110 E225814
LHBP N472621 E191542
LIBD N410817 E164554
LICJ N381054 E130557
LIEE N391449 E090321
LIEO N405354 E093104
LIMC N453748 E084323
LIME N454008 E094201
LIMF N451209 E073857
LIML N452657 E091641
LIPE N443150 E111748
LIPH N453902 E121152
LIPX N452347 E105316
LIPZ N453019 E122106
LIRF N414801 E121420
LIRN N405303 E141726
LIRP N434058 E102344
LIRQ N434830 E111210
LKPR N500602 E141535
LMML N355127 E142838
LOWW N480637 E163410
LPPR N411408 W084041
LPPT N384627 W090803
LSGG N461417 E060633
LSZG N471053 E072459
LSZH N472729 E083253
LSZZ N010000 E010000
LSZX N120000 E320000
LSXC N010000 E020000
